tweet_id,twitter_handle,tweet_text,iata_airline,like_count,created_at
1583865992585031681,sfrdev,"@gajeshnaik @British_Airways If it’s a British codeshare flight, you can get the boarding pass of the connecting flight in heathrow’s transit area if that airline has a transit counter or you can collect the pass at the boarding gate of the flight",BA,1,2022-10-22 17:00:54+00:00
1583865933990625281,georgina_pawley,@British_Airways disappointing to see you behave like a budget airline. Especially on long haul flights where people pay a lot for their ticket and then you demand £50 each to secure a seat or your family gets split up - even in Club &amp; Premier. £ over CEX,BA,0,2022-10-22 17:00:40+00:00
1583824277668626434,AmiA127v1,"@Flight_Refunds or anyone with any knowledge able to say which airlines don't give you air miles/tier points if you use even 100 air miles towards a flight? Doesn't matter if you've spent £1000 on the flight it's ineligible and no points, no miles. @British_Airways does it again!",BA,1,2022-10-22 14:15:08+00:00
1583564112721719298,MarkBullivant4,"@gazzadaz @British_Airways @easyJet I know it doesn't help in this instance Gazza but For future, take a flight from Edinburgh or Glasgow to Dublin, Aer Lingus do great transatlantic flights to US and you can do all your US pre clearance at Dublin Airport.
Flew to South Korea with BA, terrible airline. 👎👎",BA,2,2022-10-21 21:01:20+00:00
1582847603569754112,sophiaranting,while I sit here wasting my time I'm wondering if all @Tyrrells are stale AF or just the ones @British_Airways serves to the poor sods paying upwards of £600 for a short haul flight on what has become a budget airline,BA,0,2022-10-19 21:34:11+00:00
1582688606980050944,Nonkosi85987177,There is clearly no accountability or customer care @British_Airways. Flights canceled by Airline with no refund. U call &amp; hold for hours with no action for months.This is stealing! Never use them!,BA,1,2022-10-19 11:02:23+00:00
1582402014168088577,boomstick913,"@British_Airways showing class again. Tried to move a flight for a family of 4 in 2 weeks time due to unforeseen changes from another airline, offered £10 tax back, or £500 charge to move the flight. Wonder why the british public use other carriers. @united airlines sorted it 👌",BA,1,2022-10-18 16:03:34+00:00
1580604554374107136,liamkitchen,@LasVegasUK @British_Airways I liked the t5 cos my Manchester flight was from the same terminal and landed at the same one. Hopefully virgin or some other airline get Manchester to vegas direct back next summer,BA,4,2022-10-13 17:01:06+00:00
1578511000902303744,Ed6114,"@British_Airways well 1hr 15 mins after landing and still no bags. If you haven’t got the staff don’t operate the flights or is it just a scheme to get more money from prolonged parking charges. As an airline you are absolutely diabolical. For customer care, there is none",BA,0,2022-10-07 22:22:04+00:00
1578483429074948096,alistertoma,@British_Airways you cancelled my flight a year ago and I have been writing calling &amp; you for my avios refund and U haven’t replied. R u still running a respectable airline or have u given up ? Ur start at executive club outright respond “I haven’t been trained to deal with this”,BA,1,2022-10-07 20:32:30+00:00
1578396122254659584,rokeypdx,"@British_Airways @VirginAtlantic If we want to take the chance of being seated apart or end up stuck between two strangers we could wait until check in. 

Every other airline I use lets me choose my seat when I pay for my ticket. This is my last flight on British, tbh.",BA,1,2022-10-07 14:45:35+00:00
1578093530743861249,OwenDelaney327,@British_Airways your website or app won’t let me check in. I have a flight ticketed with American Airlines. I can’t check in there. They redirect me to your site and then I can’t check in,BA,0,2022-10-06 18:43:11+00:00
